movie_name,year,rate,cast,director
Running Scared,1986,59%,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer",Peter Hyams
Equilibrium,2002,40%,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Kurt Wimmer
Hero,2002,94%,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung Man-yuk, Donnie Yen",Zhang Yimou
Road House,1989,39%,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Rowdy Herrington
Unstoppable,2010,87%,"Denzel Washington, Chris Pine, Rosario Dawson, Kevin Dunn",Tony Scott
Shaft,1971,87%,"Richard Roundtree, Moses Gunn, Christopher St. John, Charles Cioffi",Gordon Parks
The Villainess,2017,85%,"Kim Ok-bin, Shin Ha-kyun, Sung-joon, Kim Seo-hyung",Jeong Byeong-gil
Highlander,1986,70%,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown",Russell Mulcahy
Die Hard 2,1990,69%,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson",Renny Harlin
National Treasure,2004,46%,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",Jon Turteltaub
The Protector,2005,53%,"Tony Jaa, Johnny Nguyen, Nathan Jones, Petchtai Wongkamlao",Prachya Pinkaew
Revenge,2017,93%,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède",Coralie Fargeat
El Mariachi,1992,91%,"Carlos Gallardo, Consuelo Gómez, Reinol Martinez, Peter Marquardt",Robert Rodriguez
A Touch of Zen,1971,97%,"Feng Hsu, Chun Shih, Pai Ying, Roy Chiao",King Hu
Top Gun,1986,58%,"Tom Cruise, Kelly McGillis, Anthony Edwards, Val Kilmer",Tony Scott
Con Air,1997,58%,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi",Simon West
The Expendables 2,2012,67%,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",Simon West
The Mummy,1999,61%,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers
Mr. & Mrs. Smith,2005,59%,"Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody",Doug Liman
Rush Hour,1998,61%,"Jackie Chan, Chris Tucker, Tom Wilkinson, Elizabeth Peña",Brett Ratner
The Equalizer,2014,60%,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",Antoine Fuqua
Captain America: Civil War,2016,90%,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Anthony Russo, Joe Russo"
Air Force One,1997,79%,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson",Wolfgang Petersen
Bloodsport,1988,46%,"Jean-Claude Van Damme, Donald Gibb, Leah Ayres, Norman Burton",Newt Arnold
Blade,1998,57%,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright",Stephen Norrington
Bad Boys,1995,42%,"Martin Lawrence, Will Smith, Tea Leoni, Tcheky Karyo",Michael Bay
Die Hard With a Vengeance,1995,59%,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",John McTiernan
The Running Man,1987,67%,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto",Paul Michael Glaser
Code of Silence,1985,70%,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",Andrew Davis
Shoot 'Em Up,2007,67%,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon",Michael Davis
Crank,2006,62%,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez","Mark Neveldine, Brian Taylor"
Machete,2010,71%,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","Robert Rodriguez, Ethan Maniquis"
Drive,2011,93%,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nicolas Winding Refn
Batman,1989,73%,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl",Tim Burton
Under Siege,1992,79%,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak",Andrew Davis
Independence Day,1996,67%,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",Roland Emmerich
Bullitt,1968,98%,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Peter Yates
Wanted,2008,71%,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",Timur Bekmambetov
Superman: The Movie,1978,93%,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder",Richard Donner
Ronin,1998,69%,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard",John Frankenheimer
They Live,1988,85%,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower",John Carpenter
Cliffhanger,1993,67%,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Renny Harlin
Marvel's the Avengers,2012,91%,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Joss Whedon
Hot Fuzz,2007,91%,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",Edgar Wright
The Warriors,1979,88%,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",Walter Hill
Starship Troopers,1997,67%,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",Paul Verhoeven
Elite Squad 2,2010,91%,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held",José Padilha
Point Break,1991,70%,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",Kathryn Bigelow
The Long Kiss Goodnight,1996,68%,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko",Renny Harlin
The Guest,2014,92%,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley",Adam Wingard
Taken,2008,59%,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser",Pierre Morel
300,2006,61%,"Gerard Butler, Lena Headey, David Wenham, Dominic West",Zack Snyder
True Lies,1994,70%,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton",James Cameron
Demolition Man,1993,62%,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",Marco Brambilla
Hardcore Henry,2015,51%,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",Ilya Naishuller
Police Story,1985,93%,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung","Jackie Chan, Chi-Hwa Chen"
Brotherhood of the Wolf,2001,73%,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel",Christophe Gans
Kingsman: The Secret Service,2014,75%,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson",Matthew Vaughn
The Fifth Element,1997,71%,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich",Luc Besson
Big Trouble in Little China,1986,75%,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",John Carpenter
Atomic Blonde,2017,79%,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman",David Leitch
Rumble in the Bronx,1995,80%,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip",Stanley Tong
District B13,2004,80%,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri",Pierre Morel
Beverly Hills Cop,1984,83%,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher",Martin Brest
Ong-Bak: The Thai Warrior,2003,85%,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai",Prachya Pinkaew
Collateral,2004,86%,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",Michael Mann
Iron Monkey,1993,91%,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang",Woo-Ping Yuen
Escape From New York,1981,86%,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef",John Carpenter
Battle Royale,2000,88%,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô",Kinji Fukasaku
Spider-Man 2,2004,93%,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",Sam Raimi
13 Assassins,2010,95%,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki",Takashi Miike
Full Contact,1992,89%,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang",Ringo Lam
Indiana Jones and the Last Crusade,1989,88%,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",Steven Spielberg
Kung Fu Hustle,2004,90%,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung",Stephen Chow
A Better Tomorrow,1986,93%,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",John Woo
Iron Man,2008,94%,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges",Jon Favreau
The Night Comes for Us,2018,91%,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang",Timo Tjahjanto
Logan,2017,94%,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant",James Mangold
Goldfinger,1964,99%,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton",Guy Hamilton
Assault on Precinct 13,1976,96%,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West",John Carpenter
Wonder Woman,2017,93%,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Patty Jenkins
The Chinese Connection,1972,83%,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker",Lo Wei
Captain America: The Winter Soldier,2014,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","Anthony Russo, Joe Russo"
Oldboy,2003,82%,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han",Park Chan-wook
The French Connection,1971,96%,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco",William Friedkin
Furious 7,2015,81%,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",James Wan
La Femme Nikita,1990,89%,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau",Luc Besson
Supercop,1992,92%,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang",Stanley Tong
Dirty Harry,1971,89%,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Don Siegel
Edge of Tomorrow,2014,91%,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",Doug Liman
X2,2003,85%,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry",Bryan Singer
The Fugitive,1993,96%,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Andrew Davis
Black Panther,2018,96%,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Ryan Coogler
Inception,2010,87%,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Christopher Nolan
Braveheart,1995,75%,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Mel Gibson
Minority Report,2002,90%,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",Steven Spielberg
Avengers: Endgame,2019,94%,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Anthony Russo, Joe Russo"
Dredd,2012,79%,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris",Pete Travis
The Bourne Identity,2002,84%,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen",Doug Liman
Ip Man,2008,86%,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam",Wilson Yip
Face/Off,1997,92%,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola",John Woo
To Live and Die in L.A.,1985,85%,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer",William Friedkin
The Dark Knight,2008,94%,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Christopher Nolan
Mission: Impossible -- Ghost Protocol,2011,93%,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton",Brad Bird
Fast Five,2011,78%,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Justin Lin
Lethal Weapon,1987,80%,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan",Richard Donner
The Rock,1996,68%,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn",Michael Bay
RoboCop,1987,91%,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy",Paul Verhoeven
John Wick: Chapter 2,2017,89%,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",Chad Stahelski
Casino Royale,2006,94%,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench",Martin Campbell
Baby Driver,2017,92%,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal",Edgar Wright
Fist of Legend,1994,100%,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata",Gordon Chan
The Killer,1989,98%,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang",John Woo
The Raid 2,2014,82%,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara",Gareth Evans
Enter the Dragon,1973,95%,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",Robert Clouse
Commando,1985,67%,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells",Mark L. Lester
First Blood,1982,86%,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso",Ted Kotcheff
Mission: Impossible Rogue Nation,2015,94%,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Christopher McQuarrie
The Terminator,1984,100%,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield",James Cameron
Gladiator,2000,79%,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott
Kill Bill: Vol. 1,2003,85%,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",Quentin Tarantino
The Professional,1994,74%,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Luc Besson
Speed,1994,94%,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Jan de Bont
Drunken Master II,1994,84%,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau",Chia-Liang Liu
John Wick,2014,86%,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",Chad Stahelski
"Crouching Tiger, Hidden Dragon",2000,97%,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang",Ang Lee
Predator,1987,80%,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo",John McTiernan
The Bourne Ultimatum,2007,92%,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Paul Greengrass
Total Recall,1990,83%,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Paul Verhoeven
Mad Max 2: The Road Warrior,1981,94%,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells",George Miller
Heat,1995,88%,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann
The Raid: Redemption,2011,87%,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian",Gareth Huw Evans
Mission: Impossible -- Fallout,2018,97%,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie
Raiders of the Lost Ark,1981,96%,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler",Steven Spielberg
Aliens,1986,98%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",James Cameron
Hard-Boiled,1992,94%,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai",John Woo
The Matrix,1999,88%,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Andy Wachowski, Larry Wachowski"
Terminator 2: Judgment Day,1991,93%,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron
Die Hard,1988,94%,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",John McTiernan
Mad Max: Fury Road,2015,97%,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller
